Level.dim_x = 14
Level.dim_y = 14
Level.max_enemies = 100
Level.max_money = 35
Level.max_health = 20000
Level.max_speed = 65
Level.min_interval = 400
Level.pos_x = -17.7467 
Level.pos_y = 17.5
Level.pos_z = 4.4285
Level.dir_x = 0.4299
Level.dir_y = -0.992839 
Level.dir_z = 0
Level.start_money = 350

Level.map
0		0		0		0		0		0		0		0		0		0		0		0		0		0
0		13		12		11		10		9		8		7		6		5		4		3		2		1
0		14		0		0		0		0		0		0		0		0		0		0		0		0
0		15		0		35		36		37		38		39		40		41		42		43		44		0
0		16		0		34		0		0		0		0		0		0		0		0		45		0
0		17		0		33		0		53		52		51		50		49		48		47		46		0
0		18		0		32		0		54		0		0		0		0		0		0		0		0
0		19		0		31		0		55		0		67		68		69		70		71		72		0
0		20		0		30		0		56		0		66		0		0		0		0		73		0
0		21		0		29		0		57		0		65		0		77		76		75		74		0
0		22		0		28		0		58		0		64		0		78		0		0		0		0
0		23		0		27		0		59		0		63		0		79		0		-1		-1		-1
0		24		25		26		0		60		61		62		0		80		81		82		1000	-1
0		0		0		0		0		0		0		0		0		0		0		-1		-1		-1
