Level.dim_x = 13
Level.dim_y = 18

Level.map
-1		-1		-1		-1		-1		0		1		0		-1		-1		-1		-1		-1
0		0		0		0		0		0		2		0		-1		-1		-1		-1		-1
0		8		7		6		5		4		3		0		-1		-1		-1		-1		-1
0		9		0		0		0		0		0		0		0		0		0		0		0
0		10		0		52		53		54		55		56		57		58		59		60		0
0		11		0		51		0		0		0		0		0		0		0		61		0
0		12		0		50		0		36		35		34		33		32		0		62		0
0		13		0		49		0		37		0		0		0		31		0		63		0
0		14		0		48		0		38		39		40		0		30		0		64		0
0		15		0		47		0		0		0		41		0		29		0		65		0
0		16		0		46		45		44		43		42		0		28		0		66		0
0		17		0		0		0		0		0		0		0		27		0		67		0
0		18		19		20		21		22		23		24		25		26		0		68		0
0		0		0		0		0		0		0		0		0		0		0		69		0
-1		-1		-1		-1		-1		0		75		74		73		72		71		70		0
-1		-1		-1		-1		-1		-1		76		-1		0		0		0		0		0
-1		-1		-1		-1		-1		-1		1000	-1		-1		-1		-1		-1		-1
-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1
