Level.dim_x = 8
Level.dim_y = 13

Level.map
0						 0						0						0						0						0						0						-1
0						 14						15					16					17					18					0						-1
0						 13						0						0						0						19					0						-1
0						 12						0						0						0						20					0						-1
0						 11						0						23					22					21					0						-1
0						 10						0						24					0						0						0						-1
0						 9						0						25					0						0						0						0
0						 8						0						26					27					28					29					0
0						 7 						0						0						0						0						30					0
0						 6						5 						0						0						0						31					0
0						 0						4		 				0						0						0						32					0
1						 2							3						0						0						-1						33					-1
0						 0						0						0						0						-1					1000					-1				
