Level.dim_x = 19
Level.dim_y = 15

Level.map
0				0				0				0				0				0				0				-1				-1				-1				-1				-1				 0			 0			0				0				0				0				0			
1				2				0				36			37			38			0				-1				-1				-1				-1				-1				 0			38			37			36			0				2				1	
0				3				0				35			0				39			0				-1				-1				-1				-1				-1				 0			39			0				35			0				3				0	
0				4				0				34			0				40			0				0				0				0				0				0				 0			40			0				34			0				4				0	
0				5				0				33			0				41			0				-2				-2				-2			   -2				-2				 0			41			0				33			0				5				0	
0				6				0				32			0				42			0				-2				-2				-2			   -2				-2			 	 0			42			0				32			0				6				0	
0				7				0				31			0				43			0				47			49			1000		49			47			 0			43			0				31			0				7				0	
0				8				0				30			0				44			45			46		   -2				-2				-2				46			45			44			0				30			0				8				0	
0				9				0				29			0				0				0				0				0				0				0				0				0				0				0				29			0				9				0	
0				10			0				28			27			26			25			24			0				-1				0				24			25			26			27			28			0				10			0	
0				11			0				0				0				0				0				23			0				-1				0				23			0				0				0				0				0				11			0	
0				12			0				-1				-1				-1			    0				22			0				-1				0				22			0				-1				-1				-1				0				12			0	
0				13			0				0				0				0				0				21			0				-1				0				21			0				0				0				0				0				13			0	
0				14			15			16			17			18			19			20			0				-1				0				20			19			18			17			16			15			14			0	
0				0				0				0				0				0				0				0				0				0				0				0				0				0				0				0				0				0				0					
