Level.dim_x = 15
Level.dim_y = 14
Level.max_enemies = 85
Level.max_money = 19
Level.max_health = 20000
Level.max_speed = 900
Level.min_interval = 400
Level.pos_x = -17.7467 
Level.pos_y = 17.5
Level.pos_z = 4.4285
Level.dir_x = 0.4299
Level.dir_y = -0.992839 
Level.dir_z = 0
Level.start_money = 450

Level.map
				
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	7	8	9	10	11	12	13	14	15	16	17	18	19	0
0	6	0	0	0	0	0	0	0	0	0	0	0	20	0
0	5	0	-1	-1	-1	-1	-1	0	67	66	65	0	21	0
0	4	0	-1	-1	1000	-1	-1	0	68	0	64	0	22	0
0	3	0	-1	-1	79	-1	-1	0	69	0	63	0	23	0
1	2	0	-1	-1	78	-1	-1	0	70	0	62	0	24	0
0	0	0	0	0	77	0	0	0	71	0	61	0	25	0
0	46	47	48	0	76	75	74	73	72	0	60	0	26	0
0	45	0	49	0	0	0	0	0	0	0	59	0	27	0
0	44	0	50	51	52	53	54	55	56	57	58	0	28	0
0	43	0	0	0	0	0	0	0	0	0	0	0	29	0
0	42	41	40	39	38	37	36	35	34	33	32	31	30	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



