Level.dim_x = 14
Level.dim_y = 14
Level.max_enemies = 85
Level.max_money = 19
Level.max_health = 20000
Level.max_speed = 900
Level.min_interval = 400
Level.pos_x = -17.7467 
Level.pos_y = 17.5
Level.pos_z = 4.4285
Level.dir_x = 0.4299
Level.dir_y = -0.992839 
Level.dir_z = 0
Level.start_money = 100

Level.map
				
0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	7	8	9	10	11	12	13	14	15	16	17	18	0
0	6	0	0	0	0	0	0	0	0	0	0	19	0
0	5	0	-1	-1	-1	-1	0	64	63	62	0	20	0
0	4	0	-1	-1	1000	-1	0	65	0	61	0	21	0
0	3	0	-1	-1	75	-1	0	66	0	60	0	22	0
1	2	0	-1	-1	74	-1	0	67	0	59	0	23	0
0	0	0	0	0	73	0	0	68	0	58	0	24	0
0	44	45	46	0	72	71	70	69	0	57	0	25	0
0	43	0	47	0	0	0	0	0	0	56	0	26	0
0	42	0	48	49	50	51	52	53	54	55	0	27	0
0	41	0	0	0	0	0	0	0	0	0	0	28	0
0	40	39	38	37	36	35	34	33	32	31	30	29	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
